;purchease_cat;rmw_cat;description
383;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
384;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
385;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
386;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
387;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
388;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
389;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
390;Boissons;EPICERIE_SALEE;75CL GROS PLANT
391;Légumes;FRUITS;AVOCAT PIECE
392;Viande;EPICERIE_SUCREE;COTE PC X2
393;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
394;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
395;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
396;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
397;Viande;FRUITS;SAUCISSE SECHE CBE
398;Textile;EPICERIE_SALEE;BARETTE ULT-CONFOR
399;Viande;BOISSONS;HERTA LARDONS FUMES
400;Viande;BOISSONS;HERTA LARDONS FUMES
401;Boissons;LEGUMES;Ste marguerite e.gaz.pet 1l25
402;Boissons;EPICERIE_SUCREE;CRISTALINE PET 6*1 5
403;Viande;BOISSONS;LIHONADE CRF 1 07
404;Épicerie Salée;BOISSONS;1/2 OLIVE FARCIES 2X 1 07
405;Poissonnerie;BOISSONS;1/4 THON NATREL PN
406;Viande;VIANDE;100G FILET BACON
407;Epicerie Sucrée;EPICERIE_SUCREE;3X TWIX 150G
408;Légumes;BOISSONS;125G BOUQUET MACHE
409;Bébé;BOISSONS;230G BRIE
410;Poissonnerie;BOISSONS;440G MOUTARDE
411;Produits Laitiers, Lait, Oeufs;BOISSONS;600G FRITE A
412;Boissons;BOISSONS;6X 1L ERU S A
413;Boissons;VIANDE;75CL GROS PLANT
414;Boissons;EPICERIE_SUCREE;ABRICOT PETIT
415;Boissons;BOISSONS;ABV BLANC 1L
416;Boulangerie;BOISSONS;BAGUETTE CAMPAGNAR
417;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BUCHE ST MAURE AOP
418;Viande;PLAT_PREPARE;BURGER EMM/CHEDDAR
419;Épicerie Salée;EPICERIE_SUCREE;COEUR LAITUE CRF
420;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
421;Boissons;BOISSONS;Eau de source
422;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;EMMENTAL RAPE CRF
423;Produits Laitiers, Lait, Oeufs;BOISSONS;MAGRET CANARD
424;Produits Laitiers, Lait, Oeufs;BOISSONS;OEUFS CAILLE CUITS
425;Épicerie Salée;BOISSONS;P FEUILLETEE EPAIS
426;Viande;BOISSONS;PLT FERMIER JAUNE
427;Produits Laitiers, Lait, Oeufs;BOISSONS;SAINT NETAIRE
428;Viande;FRUITS;SCISSON SEC PP CRF
429;Viande;BOISSONS;SH 15% CRF 3X125G 2X 3 75
430;Boissons;PLAT_PREPARE;TOM CERIS BOURRICH
431;Épicerie Salée;EPICERIE_SUCREE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
432;Petit-Déjeuner;EPICERIE_SUCREE;48 DOS ARABICA CRF
433;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
434;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURE 1/2SEL RDF
435;Boulangerie;EPICERIE_SUCREE;CIABATTA 250G
436;Fruits;EPICERIE_SALEE;CITRON JNE PIECE
437;Petit-Déjeuner;EPICERIE_SUCREE;CONFITURE FRAISE
438;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
439;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MASCARPONE
440;Hygiène et Beauté;FRUITS;X4 ET 3P DECO ULTR
441;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
442;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
443;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
444;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
445;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
446;Boissons;EPICERIE_SALEE;75CL GROS PLANT
447;Légumes;FRUITS;AVOCAT PIECE
448;Viande;EPICERIE_SUCREE;COTE PC X2
449;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
450;Épicerie Salée;EPICERIE_SALEE;GALET 100% BLE NOI
451;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
452;Viande;EPICERIE_SUCREE;RABLE LAPIN X4
453;Viande;FRUITS;SAUCISSE SECHE CBE
454;Textile;EPICERIE_SALEE;BARETTE ULT-CONFOR
455;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
456;Boissons;BOISSONS;Eau de source
457;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
458;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
459;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
460;Boissons;BOISSONS;Eau de source
461;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
462;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
463;Viande;PLAT_PREPARE;POULET FERMIER/LICQUES L/RGE
464;Viande;EPICERIE_SUCREE;!SAUCISSES COCKTAIL NATURE 450G
465;Viande;HYGIENE_BEAUTE;LOT 2 GDS LARDONS FUMES +1 GT
466;Viande;EPICERIE_SUCREE;PATE EN CROUTE 450G S/AZAY
467;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLES 600G
468;Épicerie Salée;EPICERIE_SALEE;BEURRE ½ SEL MOULIN OR 250G
469;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;OEUFS FRAIS MOYEN X12
470;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;CREME FRAICHE 30 CL
471;Produits Laitiers, Lait, Oeufs;BOULANGERIE;RAPE LES CROISES ZIP 200G
472;Fruits;EPICERIE_SUCREE;POMME ROUGE
473;Boulangerie;EPICERIE_SUCREE;BAGUETTE 250G
474;Produits Surgelés;PRODUITS_SURGELES;FEUILLETES SURG BLINI 475G
475;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BRIE DE NORMANDIE AU LAIT CRU
476;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;LE CHEVROT LAIT CRU 200G
477;Produits Laitiers, Lait, Oeufs;HYGIENE_BEAUTE;BRIQUETTE CH'TI
478;Produits Surgelés;EPICERIE_SUCREE;PAELLA TRADITIONNELLE
479;Plats préparés;EPICERIE_SUCREE;SALADE PDT HARENG 2 5KG
480;Viande;EPICERIE_SUCREE;SAUCISSON CHEVAL
481;Plats préparés;VIANDE;OEUF POCHE AU JAMBON 90G
482;Épicerie Salée;EPICERIE_SALEE;FONDUE POIREAUX JAMBON
483;Plats préparés;EPICERIE_SUCREE;SALADE DE PERLES OCEANES
484;Épicerie Salée;EPICERIE_SUCREE;X *HARICOTS VERTS EXF N/J 4/4
485;Entretien;EPICERIE_SUCREE;48 DOSETTES CLASSIQUE 336G
486;Boissons;EPICERIE_SUCREE;RHUM ARRANG CHATEL LETCHI
487;Boissons;EPICERIE_SALEE;X PASTI SIGALE 45D 1L ECO+
488;Boissons;EPICERIE_SALEE;X BIANCO GILDO ECO+ 1L
489;Boissons;PRODUITS_LAITIERS_LAIT_OEUFS;X *JEAN'S COLA PET 150CL
490;Boissons;FRUITS;X *P/JUS D'ORANGE BRICK 1L
491;Hygiène et Beauté;EPICERIE_SUCREE;DCH PETALE ORIENT MANAV 100ML
492;Maison;EPICERIE_SUCREE;MULTIP ALLCIG 2 SORT 12V/24V
493;Epicerie Sucrée;BOISSONS;200G TOMME NOIRE
494;Légumes;BOISSONS;FILET CARRELET
495;Boissons;BOISSONS;MASCARPONE GORGONZ
496;Boulangerie;BOULANGERIE;PAIN 400GR
497;Epicerie Sucrée;BOISSONS;SCE BEURRE CITRON
498;Hygiène et Beauté;BOISSONS;500ML BDB EXPERT P
499;Epicerie Sucrée;EPICERIE_SALEE;Galettes aux 4 céréales
500;Epicerie Sucrée;EPICERIE_SALEE;Galettes aux 4 céréales
501;Épicerie Salée;PRODUITS_LAITIERS_LAIT_OEUFS;MUNTANT DU
502;Boissons;EPICERIE_SUCREE;1L PASTIS MARSEILL
503;Légumes;EPICERIE_SALEE;BLANC 1L
504;Boulangerie;VIANDE;BAGUETTE CARREFOUR
505;Bébé;POISSONNERIE;CABILLAUD BQ
506;Viande;EPICERIE_SUCREE;PATE EN CROUTE
507;Viande;PLAT_PREPARE;POULET FEMIER JAUN
508;Viande;FRUITS;SAUCISSE SECHE CBE
509;Viande;EPICERIE_SALEE;10TR BACON SEL RED
510;Bébé;PLAT_PREPARE;2X200G PDT/BF/TOM
511;Epicerie Sucrée;PETIT_DEJEUNER;400G CEREAL CACAO
512;Bébé;BOISSONS;4X100 BISC POMM PE
513;Bébé;FRUITS;4X100G POM KIWI AN
514;Bébé;FRUITS;4X100G POM MANG PA
515;Epicerie Sucrée;EPICERIE_SUCREE;600G FRITE AU FOUR
516;Boulangerie;VIANDE;BAGUETTE CARREFOUR
517;Bébé;VIANDE;BLEDINA MINI LACTE
518;Bébé;FRUITS;BLEDINER LT/POIR/P
519;Épicerie Salée;BOISSONS;FROMAGE BLC FONDU
520;Viande;BOISSONS;IDM COU PTE MERLU
521;Fruits;BOISSONS;LEMIEL MILUMEL 2EM
522;Animaux;BOISSONS;MARKIES TRIO PEDIG
523;Bébé;EPICERIE_SALEE;PT REC POT AU FEU
524;Produits Laitiers, Lait, Oeufs;BOISSONS;RED TRCH CHEDDAR
525;Viande;BOISSONS;STEACK HACH 2X125G
526;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;VACHE QUI RIT X 8
527;Fruits;BOISSONS;X46 CHANGES BB PR
528;Légumes;PRODUITS_LAITIERS_LAIT_OEUFS;X72 LINGET AU LAIT
529;Produits Laitiers, Lait, Oeufs;BOISSONS;ATTACHE SUCETTE X2
530;Viande;HYGIENE_BEAUTE;TASSE ANTI FUITE
531;Produits Laitiers, Lait, Oeufs;BOISSONS;150G COMTE RAPE
532;Boissons;BOISSONS;1L BLANC BALLIANI
533;Produits Laitiers, Lait, Oeufs;BOISSONS;200G COMTE EXTRA
534;Viande;BOISSONS;800G ROGNON BF CPE
535;Boulangerie;BOISSONS;BAGUET MEUNIERE
536;Poissonnerie;BOISSONS;EPINARD HACHE CRF
537;Viande;BOISSONS;FILET CND CRF X1
538;Viande;EPICERIE_SALEE;KG FOIE BOEUF TRX2
539;Épicerie Salée;HYGIENE_BEAUTE;LA CHAMPETRE 950G
540;Épicerie Salée;BOISSONS;P FEUILLETEE 235G
541;Viande;LEGUMES;PREFOU AIL
542;Viande;EPICERIE_SALEE;RISOTTO CHAMP PLT
543;Produits Laitiers, Lait, Oeufs;BOISSONS;RIVANIS PASTIS 1L
544;Viande;BOISSONS;STEAK 15% CRF 350G
545;Entretien;BOISSONS;NETTOYANT LUNETTE
546;Boissons;EPICERIE_SUCREE;LIMONADE CRF
547;Boissons;EPICERIE_SUCREE;LIMONADE CRF
548;Épicerie Salée;EPICERIE_SUCREE;1/2 OLIVE FARCIES
549;Poissonnerie;POISSONNERIE;1/4 THON NATREL PN
550;Viande;PLAT_PREPARE;100G FILET BACON
551;Poissonnerie;EPICERIE_SUCREE;TOX TWIX 500G
552;Légumes;EPICERIE_SUCREE;125G BOUQUET MACHE
553;Bébé;EPICERIE_SUCREE;230G BRIE
554;Poissonnerie;EPICERIE_SUCREE;440G MOUTARDE
555;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;600G FRITE A
556;Boissons;HYGIENE_BEAUTE;6X1L EAU S AN
557;Boissons;EPICERIE_SALEE;75CL GROS PLANT
558;Boissons;EPICERIE_SUCREE;ABRICOT PETIT
559;Boissons;EPICERIE_SALEE;ABV BLANC 1L
560;Boulangerie;EPICERIE_SUCREE;BAGUETTE CAMPAGNAR
561;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BUCHE ST MAURE AOP
562;Viande;PLAT_PREPARE;BURGER EMM/CHEDDAR
563;Épicerie Salée;EPICERIE_SUCREE;COEUR LAITUE CRF
564;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
565;Boissons;HYGIENE_BEAUTE;Eau de source
566;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;EMMENTAL RAPE CRF
567;Produits Laitiers, Lait, Oeufs;PLAT_PREPARE;MAGRET CANARD
568;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;OEUFS CAILLE CUITS
569;Épicerie Salée;BOULANGERIE;P FEUILLETEE EPAIS
570;Viande;EPICERIE_SUCREE;PLT FERMIER JAUNE
571;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;SAINT NETAIRE
572;Viande;EPICERIE_SUCREE;Saucisson sec
573;Viande;EPICERIE_SUCREE;SH 15% CRF 3X125G
574;Boissons;LEGUMES;TOM CERIS BOURRICH
575;Légumes;EPICERIE_SUCREE;TOMATE GRAPPE
576;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
577;Boissons;BOISSONS;Eau de source
578;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
579;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
580;Boissons;BOISSONS;1L PASTIS MARSEILL
581;Boissons;BOISSONS;ABV BLANC 1L
582;Boulangerie;VIANDE;BAGUETTE CARREFOUR
583;Produits Laitiers, Lait, Oeufs;BOISSONS;DOS CABILLAUD BQ
584;Produits Laitiers, Lait, Oeufs;BOISSONS;PATE EN CROUTE
585;Viande;PLAT_PREPARE;POULET FEMIER JAUN
586;Viande;BOISSONS;SAUCISSE SECHE CBE
587;Maison;EPICERIE_SUCREE;SAC CABAS MATIERE RECYCLE
588;Viande;HYGIENE_BEAUTE;B PRO CHAUSSURE JEOPARD 1 FE
589;Textile;EPICERIE_SUCREE;FEM LAURIS DERBY
590;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
591;Epicerie Sucrée;EPICERIE_SALEE;AUCHAN TIRAMISU 4X80G
592;Boulangerie;EPICERIE_SUCREE;BAGU CAMPAGNE 250G
593;Épicerie Salée;PRODUITS_SURGELES;AUCHAN LENTILLES G OIE 530
594;Viande;BOULANGERIE;HERTA ALLUMETTES FUMEES 2X
595;Viande;VIANDE;EPAULE PORC SANS OS
596;Légumes;EPICERIE_SUCREE;PDT CONSO GROS CALIBRE VRA
597;Textile;PRODUITS_LAITIERS_LAIT_OEUFS;BAVOIR TABLIER 2EME AGE 37
598;Bébé;EPICERIE_SUCREE;POREE BABYCALIN LOTX3 BAVO
599;Maison;EPICERIE_SUCREE;COUVERTURE POLAIRE 75/150C
600;Loisirs;EPICERIE_SUCREE;IE DORS BIEN COL CLAUDINE
601;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
602;Maison;EPICERIE_SALEE;IE DORS BIEN LAPIN/CHATON
603;Maison;EPICERIE_SUCREE;IE DBIEN OURS/SOURIS/ELEPH
604;Petit-Déjeuner;EPICERIE_SALEE;B IE DOUDOUNE LIGHT CAPUCHE
605;Textile;HYGIENE_BEAUTE;IE BODY US MC
606;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
607;Textile;EPICERIE_SUCREE;IE X7 BODIES US ML
608;Textile;HYGIENE_BEAUTE;IE LOT 7 BODIES US ML
609;Viande;HYGIENE_BEAUTE;3 LOT 5 CHAUSSETTES 2FANT+3U
610;Textile;HYGIENE_BEAUTE;8 LOT 5 CHAUSSETTES 2FANT+3U
611;Hygiène et Beauté;PRODUITS_SURGELES;AUCHAN BROSSE A DENTS X3
612;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
613;Boissons;BOISSONS;Eau de source
614;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
615;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
616;Viande;PLAT_PREPARE;POULET FERMIER/LICQUES L/RGE
617;Viande;BOISSONS;!SAUCISSES COCKTAIL NATURE 450G
618;Viande;BOISSONS;LOT 2 GDS LARDONS FUMES +1 GT
619;Viande;BOISSONS;PATE EN CROUTE 450G S/AZAY
620;Épicerie Salée;BOISSONS;TAGLIATELLES 600G
621;Épicerie Salée;EPICERIE_SALEE;BEURRE 1/2 SEL MOULIN OR 250G
622;Produits Laitiers, Lait, Oeufs;BOISSONS;OEUFS FRAIS MOYEN X12
623;Produits Laitiers, Lait, Oeufs;BOISSONS;CREME FRAICHE 30 CL
624;Produits Laitiers, Lait, Oeufs;BOULANGERIE;RAPE LES CROISES ZIP 200G
625;Fruits;BOISSONS;POMME ROUGE
626;Boulangerie;BOISSONS;BAGUETTE 250G
627;Épicerie Salée;EPICERIE_SALEE;FEUILLETES SURG BLINI 475G
628;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BRIE DE NORMANDIE AU LAIT CRU
629;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;LE CHEVROT LAIT CRU 200G
630;Produits Laitiers, Lait, Oeufs;BOISSONS;BRIQUETTE CH'TI
631;Produits Surgelés;BOISSONS;PAELLA TRADITIONNELLE
632;Légumes;BOISSONS;SALADE PDT HARENG 2 5KG
633;Viande;BOISSONS;SAUCISSON CHEVAL
634;Viande;VIANDE;OEUF POCHE AU JAMBON 90G
635;Épicerie Salée;VIANDE;FONDUE POIREAUX JAMBON
636;Épicerie Salée;BOISSONS;SALADE DE PERLES OCEANES
637;Épicerie Salée;BOISSONS;X *HARICOTS VERTS EXF N/J 4/4
638;Entretien;BOISSONS;48 DOSETTES CLASSIQUE 336G
639;Viande;BOISSONS;RHUM ARRANG CHATEL LETCHI
640;Produits Laitiers, Lait, Oeufs;BOISSONS;X PASTIS SUGALE 45D 1L ECO+
641;Boissons;BOISSONS;X BIANCO GILDO ECO+ 1L
642;Boissons;BOISSONS;X *JEAN'S COLA PET 150CL
643;Boissons;BOISSONS;X *P/JUS D'ORANGE BRICK 1L
644;Hygiène et Beauté;BOISSONS;DCH PETALE ORIENT MANAU 100ML
645;Boissons;BOISSONS;MULTIP ALLCIG 2 SORT 12V/24V
646;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
647;Boissons;BOISSONS;Eau de source
648;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
649;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
650;Produits Laitiers, Lait, Oeufs;VIANDE;1/2 EPINA HACH CRF
651;Épicerie Salée;EPICERIE_SUCREE;1/2 OLIVE FARCIES
652;Viande;EPICERIE_SUCREE;48X7G DOSET MOKA
653;Épicerie Salée;EPICERIE_SUCREE;ABONDANCE FE
654;Boissons;EPICERIE_SALEE;ABV BLANC 1L
655;Boulangerie;EPICERIE_SUCREE;BAGUETTE CAMPAGNAR
656;Boissons;HYGIENE_BEAUTE;EAU ST AMAND 1 5L
657;Légumes;EPICERIE_SUCREE;EMINCES PC LEGUMES
658;Viande;PLAT_PREPARE;KG FOIE BOEUF TRX2
659;Fruits;EPICERIE_SUCREE;MANGUE PIECE
660;Produits Laitiers, Lait, Oeufs;EPICERIE_SALEE;P-CROUTE COCKI APE
661;Viande;EPICERIE_SUCREE;RECHARGE 600 CANDE
662;Boissons;EPICERIE_SUCREE;1 5L LIMONADE CRF
663;Épicerie Salée;EPICERIE_SUCREE;1/2 MELANGE 4CHAMP
664;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;Bûche Soignon Sainte Maure, Lait pasteurisé 45%mg 200g
665;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
666;Viande;EPICERIE_SALEE;6T JAMB SUP AC PSA
667;Boissons;EPICERIE_SALEE;75CL GROS PLANT
668;Fruits;FRUITS;AVOCAT PIECE
669;Epicerie Sucrée;EPICERIE_SUCREE;COTE PC X2
670;Épicerie Salée;LEGUMES;FLAGEOLET VERT EF
671;Epicerie Sucrée;EPICERIE_SALEE;GALET 100% BLE NOI
672;Fruits;EPICERIE_SUCREE;PRUNE JAUNE VRAC
673;Animaux;EPICERIE_SUCREE;RABLE LAPIN X4
674;Viande;FRUITS;SAUCISSE SECHE CBE
675;Entretien;EPICERIE_SALEE;BARETTE ULT-CONFOR
676;Viande;PLAT_PREPARE;POULET FERMIER/LICQUES L/RGE
677;Viande;BOISSONS;SAUCISSES COCKTAIL NATURE 450G
678;Viande;BOISSONS;LOT 2 GDS LARDONS FUMES +1 GT
679;Viande;BOISSONS;PATE EN CROUTE 450G S/AZAY
680;Épicerie Salée;BOISSONS;TAGLIATELLES 600G
681;Épicerie Salée;EPICERIE_SALEE;BEURRE 1/2 SEL MOULIN OR 250G
682;Produits Laitiers, Lait, Oeufs;BOISSONS;OEUFS FRAIS MOYEN X12
683;Produits Laitiers, Lait, Oeufs;BOISSONS;CREME FRAICHE 30 CL
684;Produits Laitiers, Lait, Oeufs;BOULANGERIE;RAPE LES CROISES ZIP 200G
685;Fruits;BOISSONS;POMME ROUGE
686;Boulangerie;BOISSONS;BAGUETTE 250G
687;Épicerie Salée;EPICERIE_SALEE;FEUILLETES SURG BLINI 475G
688;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;BRIE DE NORMANDIE AU LAIT CRU
689;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;LE CHEVROT LAIT CRU 200G
690;Produits Laitiers, Lait, Oeufs;BOISSONS;BRIQUETTE CH'TI
691;Produits Surgelés;BOISSONS;PAELLA TRADITIONNELLE
692;Légumes;BOISSONS;SALADE PDT HARENG 2 5KG
693;Viande;BOISSONS;SAUCISSON CHEVAL
694;Viande;VIANDE;oeuf poche au jambon 90g
695;Épicerie Salée;VIANDE;FONDUE POIREAUX JAMBON
696;Épicerie Salée;BOISSONS;SALADE DE PERLES OCEANES
697;Épicerie Salée;BOISSONS;X *HARICOTS VERTS EXF N/J 4/4
698;Entretien;BOISSONS;48 DOSETTES CLASSIQUE 336G
699;Légumes;BOISSONS;RHUM ARRANG CJJATERL LETCHI
700;Boissons;BOISSONS;X PASTIS SIGALE 45D 1L ECO+
701;Boissons;BOISSONS;X BIANCO GILDO ECO+ 1L
702;Boissons;BOISSONS;X *JEAN'S COLA PET 150CL
703;Boissons;BOISSONS;X *P/JUS D'ORANGE BRICK 1L
704;Hygiène et Beauté;BOISSONS;DCH PETALE ORIENT MANAU 100ML
705;Boissons;BOISSONS;MULTIP ALLCIG 2 SORT 12V/24V
706;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
707;Boissons;BOISSONS;Eau de source
708;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
709;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
710;Boissons;BOISSONS;Bianco, boisson aromatisée blanc
711;Boissons;BOISSONS;Eau de source
712;Hygiène et Beauté;HYGIENE_BEAUTE;6X XTREME3 P SENSI
713;Hygiène et Beauté;BOISSONS;X72 LINGET EAU NET
714;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
715;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;4X90G TIRAM CRF
716;Produits Surgelés;EPICERIE_SUCREE;ASSORT CHAMP CRF
717;Boulangerie;VIANDE;BAGUETTE CARREFOUR
718;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;BEURRE ISIGNY
719;Viande;EPICERIE_SUCREE;ESCALOPE DINDE E F
720;Viande;VIANDE;JAMBON SEC ITALIEN
721;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;MOZZARELLA TRANCHE
722;Épicerie Salée;EPICERIE_SUCREE;TAGLIATELLE CRF
723;Animaux;BOISSONS;3 SAC CABAS MATIERE RECYCLE
724;Textile;HYGIENE_BEAUTE;PRO CHAUSSURE JEOPARD 1 FE
725;Épicerie Salée;BOISSONS;3 FEM LAURIS DERBY
726;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;AUCHAN TIRAMISU 4X80G
727;Epicerie Sucrée;PRODUITS_LAITIERS_LAIT_OEUFS;AUCHAN TIRAMISU 4X80G
728;Boulangerie;BOULANGERIE;BAGU CAMPAGNE 250G
729;Épicerie Salée;BOULANGERIE;AUCHAN LENTILLES G OIE 530
730;Viande;BOISSONS;HERTA ALLUMETTES FUMEES 2X
731;Viande;VIANDE;EPAULE PORC SANS OS
732;Légumes;VIANDE;PDT CONSO GROS CALIBRE VRA
733;Textile;BOISSONS;BAVOIR TABLIER 2EME AGE 37
734;Bébé;BOISSONS;POREE BABYCALIN LOTX3 BAVO
735;Épicerie Salée;BOISSONS;3 COUVERTURE POLAIRE 75/150C
736;Hygiène et Beauté;BOISSONS;3 IE DORS BIEN COL CLAUDINE
737;Maison;HYGIENE_BEAUTE;IE ROMPER PRINT 1 COULEUR
738;Maison;BOISSONS;IE DORS BIEN LAPIN/CHATON
739;Maison;BOISSONS;IE DBIEN OURS/SOURIS/ELEPH
740;Petit-Déjeuner;BOISSONS;3 IE DOUDOUNE LIGHT CAPUCHE
741;Textile;HYGIENE_BEAUTE;IE BODY US MC
742;Textile;BOISSONS;IE X7 BODIES US ML
743;Textile;BOISSONS;IE X7 BODIES US ML
744;Textile;BOISSONS;IE LOT 7 BODIES US ML
745;Textile;BOISSONS;LOT 5 CHAUSSETTES 2FANT+3U
746;Viande;BOISSONS;3 LOT A CHAUSSETTES 2FANT+3U
747;Textile;BOISSONS;LOT 5 CHAUSSETTES 2FANT+3U
748;Hygiène et Beauté;BOULANGERIE;AUCHAN BROSSE A DENTS
749;Hygiène et Beauté;BOULANGERIE;AUCHAN BROSSE A DENTS
750;Produits Laitiers, Lait, Oeufs;HYGIENE_BEAUTE;PERLE LT VAN 4
751;Epicerie Sucrée;EPICERIE_SUCREE;SCOUBIDOU COLA
752;Épicerie Salée;LEGUMES;AIL PERFECT 250G
753;Viande;PRODUITS_LAITIERS_LAIT_OEUFS;BALANCE PESEE BOUC
754;Hygiène et Beauté;EPICERIE_SUCREE;ORAL B MENTHE
755;Produits Laitiers, Lait, Oeufs;EPICERIE_SUCREE;PARMIGIANO 200
756;Plats préparés;HYGIENE_BEAUTE;PIZZA CRUST CH
757;Épicerie Salée;EPICERIE_SALEE;Olives vertes dénoyautées pasteurisées  le bocal de 320g
758;Viande;BOISSONS;48 DOS ARABICA CRF
759;Produits Laitiers, Lait, Oeufs;VIANDE;OEUFS PLEIN AIR
760;Produits Laitiers, Lait, Oeufs;BOISSONS;BEURE 1/2SEL RDF
761;Entretien;BOISSONS;CIABATTA 250G
762;Fruits;BOISSONS;CITRON JNE PIECE
763;Petit-Déjeuner;BOISSONS;CONFITURE FRAISE
764;Produits Laitiers, Lait, Oeufs;PRODUITS_LAITIERS_LAIT_OEUFS;CREM FRAICH EPAISS
765;Entretien;BOISSONS;MASCARPONE
766;Entretien;BOISSONS;X4 ET 3P DECO ULTR
767;Épicerie Salée;PLAT_PREPARE;330G BOEUF BOURGUI
